,SS3_mESC_p1_A1_S1,SS3_mESC_p1_E1_S5,SS3_mESC_p1_C3_S19,SS3_mESC_p1_F2_S14,SS3_mESC_p1_A3_S17,SS3_mESC_p1_G2_S15,SS3_mESC_p1_G1_S7,SS3_mESC_p1_C1_S3,SS3_mESC_p1_B1_S2,SS3_mESC_p1_D2_S12,SS3_mESC_p1_D1_S4,SS3_mESC_p1_A2_S9,SS3_mESC_p1_H1_S8,SS3_mESC_p1_E2_S13,SS3_mESC_p1_B2_S10,SS3_mESC_p1_C2_S11,SS3_mESC_p1_B3_S18,SS3_mESC_p1_H2_S16,SS3_mESC_p1_F1_S6,SS3_mESC_p1_E3_S21,SS3_mESC_p1_D3_S20,SS3_mESC_p1_G3_S23,SS3_mESC_p1_F3_S22,SS3_mESC_p1_D4_S28,SS3_mESC_p1_A4_S25,SS3_mESC_p1_C4_S27,SS3_mESC_p1_H3_S24,SS3_mESC_p1_F4_S30,SS3_mESC_p1_A5_S33,SS3_mESC_p1_E5_S37,SS3_mESC_p1_C5_S35,SS3_mESC_p1_G4_S31,SS3_mESC_p1_B4_S26,SS3_mESC_p1_D5_S36,SS3_mESC_p1_B5_S34,SS3_mESC_p1_H4_S32,SS3_mESC_p1_F5_S38,SS3_mESC_p1_E4_S29,SS3_mESC_p1_G5_S39,SS3_mESC_p1_H5_S40,SS3_mESC_p1_B6_S42,SS3_mESC_p1_F7_S54,SS3_mESC_p1_A6_S41,SS3_mESC_p1_D6_S44,SS3_mESC_p1_G6_S47,SS3_mESC_p1_H6_S48,SS3_mESC_p1_E6_S45,SS3_mESC_p1_C6_S43,SS3_mESC_p1_B7_S50,SS3_mESC_p1_C7_S51,SS3_mESC_p1_A7_S49,SS3_mESC_p1_F6_S46,SS3_mESC_p1_D7_S52,SS3_mESC_p1_E7_S53,SS3_mESC_p1_G7_S55,SS3_mESC_p1_H7_S56,SS3_mESC_p1_A8_S57,SS3_mESC_p1_B8_S58,SS3_mESC_p1_C8_S59,SS3_mESC_p1_D8_S60,SS3_mESC_p1_E8_S61,SS3_mESC_p1_F8_S62,SS3_mESC_p1_A9_S65,SS3_mESC_p1_D9_S68,SS3_mESC_p1_H9_S72,SS3_mESC_p1_B9_S66,SS3_mESC_p1_F9_S70,SS3_mESC_p1_A10_S73,SS3_mESC_p1_G9_S71,SS3_mESC_p1_G8_S63,SS3_mESC_p1_H8_S64,SS3_mESC_p1_C9_S67,SS3_mESC_p1_E9_S69,SS3_mESC_p1_B10_S74,SS3_mESC_p1_G10_S79,SS3_mESC_p1_D10_S76,SS3_mESC_p1_C10_S75,SS3_mESC_p1_H10_S80,SS3_mESC_p1_E10_S77,SS3_mESC_p1_F10_S78,SS3_mESC_p1_B11_S82,SS3_mESC_p1_C11_S83,SS3_mESC_p1_A11_S81,SS3_mESC_p1_D11_S84,SS3_mESC_p1_E11_S85,SS3_mESC_p1_F11_S86,SS3_mESC_p1_H11_S88,SS3_mESC_p1_A12_S89,SS3_mESC_p1_G11_S87,SS3_mESC_p1_C12_S91,SS3_mESC_p1_D12_S92,SS3_mESC_p1_B12_S90,SS3_mESC_p1_E12_S93,SS3_mESC_p1_F12_S94
Hsd17b12,1,2,0,2,0,2,0,5,6,1,2,1,0,3,0,2,1,0,1,1,4,6,1,1,9,0,0,2,0,2,4,1,1,0,1,4,3,5,1,1,1,2,1,6,0,2,5,3,3,0,2,6,1,2,4,0,3,4,1,4,1,5,2,1,5,6,1,3,0,1,1,0,1,1,0,1,5,0,2,1,1,0,0,1,0,1,1,2,0,0,1,1,1,0
Hsd17b14,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,5,1,1,1,0,1,2,1,1,0,1,0,2,1,1,0,1,0,0,1,0,3,0,1,1,0,2,0,3,0,0,3,5,0,0,0,0,2,1,0,0,0,0,1,0,1,1,1,0,0,0,2,1,3,1,1,1,1,0,0,0,1,1,1,1,1,2,0,2,1,1,2,1,0,3,0
Hsd17b4,0,1,1,1,0,2,0,4,1,1,1,1,2,1,2,1,2,,6,3,0,1,1,0,,0,1,,0,,0,1,1,0,0,1,4,0,1,0,1,,2,2,0,2,0,6,0,1,0,1,1,0,4,1,0,0,3,0,0,0,4,0,0,2,1,2,1,3,2,3,5,0,8,0,0,4,0,0,3,6,2,1,2,0,0,0,2,0,,5,0,2
Hsd17b7,0,0,1,2,0,1,0,2,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,,0,,0,0,0,5,,0,0,6,0,0,3,0,0,6,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,,0,0,0,0,0,1,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0
Hsdl1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,5,0,1,0,0,6,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,2,0,1,0,1,3,0,1,2,0,1,3,1,0,0,0,2,0,0,0,2,0,0,1,0,0,1,1,0,0,1,2,,0,2,2,0,0,0,0,0,1,0,1,3
Hsdl2,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,2,0,0,0,1,1,6,1,0,1,0,0,0,0,1,3,1,0,0,0,2,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0
Hsf1,1,,1,2,0,0,1,0,0,0,0,0,2,2,0,1,0,0,1,4,0,1,4,3,1,1,0,1,0,0,0,0,3,2,1,0,0,1,1,1,1,1,2,0,2,1,3,0,1,3,5,1,1,2,0,0,0,0,1,0,0,0,1,0,3,1,,1,1,1,1,0,2,0,1,1,2,1,1,3,0,0,0,2,2,1,0,1,3,0,,1,1,2
Hsf2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,0,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Hsf2bp,0,2,9,0,3,0,9,0,9,14,10,2,0,8,4,6,0,3,0,6,3,6,2,4,2,,0,4,3,1,4,0,0,5,5,7,0,5,3,2,2,0,8,2,2,2,0,0,0,6,0,7,0,2,,6,3,0,4,2,4,1,11,2,0,0,1,6,1,5,0,5,0,3,0,2,0,0,1,1,0,4,5,0,4,0,3,2,4,10,1,0,0,0
Hsf5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hsp90aa1,10,21,23,11,1,15,19,23,18,21,19,19,11,23,6,16,18,21,30,7,34,11,5,10,21,8,7,30,9,16,14,12,9,39,11,15,20,35,17,0,15,9,16,13,24,10,14,37,5,14,32,31,13,32,11,8,15,30,16,8,32,23,21,12,31,26,12,9,8,29,33,6,29,23,10,15,24,34,14,16,11,27,17,6,24,4,9,3,17,10,9,6,19,7
Hsp90b1,10,9,22,18,2,27,12,14,29,29,16,16,7,14,10,30,22,9,41,21,17,19,10,5,19,10,4,35,7,10,34,14,5,28,17,12,20,45,1,17,27,17,34,18,15,9,36,28,16,38,31,39,12,18,11,13,6,30,11,17,24,11,5,31,43,31,10,25,6,16,6,8,51,15,8,14,9,33,5,22,7,8,22,21,17,7,10,3,12,14,19,27,14,9
Hspa12a,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,1,1,,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,
Hspa12b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hspa13,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,1,0,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,0,,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,2,0,0,3,0,0
Hspa14,3,4,5,8,2,5,5,16,11,13,10,7,4,11,8,11,3,13,13,7,7,11,13,1,9,3,15,10,1,7,11,1,8,10,19,15,11,12,7,12,1,11,7,7,3,8,16,18,8,10,23,12,1,13,5,5,3,22,20,7,13,9,5,7,16,26,4,8,0,3,12,3,21,17,3,15,11,17,3,13,5,11,10,9,14,1,9,13,11,21,8,16,14,7
Hspa2,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,1,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Hspa4,16,12,18,15,4,8,4,19,12,19,17,23,13,18,3,14,21,31,15,15,8,22,13,15,21,0,2,36,10,5,18,6,5,14,18,15,14,26,7,20,22,7,15,13,11,7,47,11,8,24,15,11,8,24,9,3,19,35,8,8,29,10,4,11,25,41,8,22,2,22,35,2,48,29,3,24,17,27,11,11,5,9,3,14,21,0,14,12,29,8,7,18,14,4
Hspa4l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Hspa5,5,54,31,22,7,18,10,10,36,17,11,11,24,14,33,38,24,28,17,8,29,30,18,24,27,6,11,39,12,16,21,16,12,23,11,22,20,39,8,38,12,10,25,22,19,16,44,22,38,12,40,42,3,61,16,17,16,14,21,7,24,23,13,28,47,51,18,23,0,25,16,12,74,37,10,22,20,49,12,19,9,30,36,27,30,7,20,10,28,8,14,46,14,5
Hspa8,27,28,58,34,14,38,18,47,80,38,42,8,29,81,25,53,25,15,53,21,70,81,39,54,50,,38,62,74,27,59,43,39,39,49,56,29,71,49,54,27,62,76,58,48,48,79,79,45,60,4,51,36,19,8,41,46,49,27,34,81,31,41,49,25,24,53,24,33,4,45,35,126,65,51,61,31,64,49,10,62,44,55,11,55,36,32,15,72,41,48,47,62,52
Hspa9,11,1,11,11,0,18,12,9,14,12,19,13,9,12,3,15,4,18,27,14,21,17,6,8,11,4,9,19,8,12,24,7,13,22,6,18,12,13,8,22,12,11,14,11,13,12,15,16,4,19,27,15,3,17,14,5,12,23,7,17,16,8,5,7,15,26,12,18,4,8,38,9,10,12,14,12,13,18,6,17,13,13,16,9,11,7,10,3,17,5,12,7,17,1
Hspb1,1,5,1,2,3,2,3,1,4,2,3,6,0,4,2,2,1,1,1,1,1,3,4,1,2,1,1,1,5,2,2,4,3,7,3,5,5,6,3,0,3,2,4,2,1,1,3,2,0,0,2,4,2,3,2,5,5,4,5,1,2,4,1,4,2,3,3,5,5,7,3,4,5,1,2,6,5,9,2,1,1,8,4,3,8,1,3,11,2,0,1,3,1,3
Hspb11,0,2,1,1,2,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,,1,0,0,0,0,0,1,2
Hspb2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Hspb6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hspb8,2,2,3,1,6,2,3,0,1,2,0,0,4,3,5,0,1,3,0,1,0,3,0,1,8,0,1,2,11,3,1,3,0,1,2,3,0,3,1,0,6,1,2,5,3,2,1,1,9,0,2,4,0,2,0,2,2,0,5,1,1,0,1,0,0,3,2,3,6,4,5,2,3,1,0,6,0,2,0,4,2,0,1,2,0,0,2,0,3,0,0,2,0,14
Hspbap1,2,4,0,3,,1,3,4,1,5,5,4,2,7,0,1,3,5,4,2,5,9,2,2,5,1,0,5,0,1,10,0,6,4,6,0,3,9,4,7,0,2,5,8,4,2,18,5,7,9,4,8,0,14,0,2,2,7,2,2,6,5,4,6,5,8,2,2,2,2,5,2,3,3,3,3,,5,4,5,11,2,4,4,0,0,2,1,4,4,6,5,1,0
Hspbp1,0,6,0,0,0,0,2,5,5,1,2,1,0,1,4,4,2,4,0,4,4,0,0,0,0,1,0,3,0,3,1,0,1,3,0,3,0,3,0,4,5,0,2,0,2,0,0,0,3,6,0,4,0,3,10,1,6,4,3,2,3,3,0,2,0,10,2,1,3,3,3,0,5,6,0,3,1,3,0,5,2,4,1,0,7,0,0,4,2,5,2,0,0,0
Hspe1,10,18,12,23,6,11,15,30,28,28,21,25,10,37,16,25,10,32,25,18,23,15,8,5,12,1,14,51,8,6,8,13,7,18,34,17,18,52,11,13,16,25,13,12,20,10,20,36,17,42,15,20,5,36,4,12,7,32,11,13,32,23,12,12,29,44,11,44,6,14,23,5,29,23,5,31,20,33,17,17,4,35,11,16,24,2,20,21,20,22,19,16,19,12
Hspg2,0,3,1,0,1,,1,1,0,0,3,0,0,0,1,0,,3,2,1,0,0,0,4,1,0,0,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,1,1,0,1,0,3,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,5,0,1,0,1,1,0,1,8,1,0,1,0,1,3,0,0,8,2,0,3,1,1,4,,2,1,1,4,6
Hsph1,3,1,6,1,0,10,0,5,11,10,0,2,6,11,1,8,7,4,9,0,2,7,2,5,3,,2,10,5,4,1,1,0,5,2,12,11,7,3,2,2,1,4,3,3,2,7,10,4,6,10,4,2,11,4,10,2,4,0,1,14,1,0,5,4,7,9,8,0,4,0,0,10,5,1,9,10,9,1,6,4,4,2,6,1,0,10,5,8,0,4,2,2,0
Htatip2,0,0,0,0,0,2,1,1,6,3,2,3,0,0,7,1,1,,,1,,0,0,1,1,0,0,2,0,2,0,,0,2,0,,0,0,2,2,1,,1,1,,1,,,7,0,,3,5,,0,1,1,0,0,0,6,0,,1,0,2,1,1,1,2,2,0,4,2,0,1,0,2,0,,1,5,0,1,0,,,2,2,0,,0,2,2
Htatsf1,7,6,7,12,,10,3,7,9,13,,7,11,9,0,25,7,11,8,13,7,13,13,13,14,5,5,14,,7,19,5,5,11,2,7,9,12,5,11,5,2,,5,10,12,13,23,15,15,15,15,15,25,5,17,9,13,7,9,9,9,9,7,9,7,4,7,8,4,9,5,21,15,4,7,6,29,9,5,21,10,2,13,3,1,16,13,5,5,4,14,10,14
Htr2b,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Htra1,2,3,0,0,0,0,0,3,0,2,0,2,3,3,11,10,8,0,1,0,2,0,2,0,0,0,1,0,0,0,14,4,0,6,5,0,0,7,11,4,5,0,0,2,6,0,0,0,0,0,0,1,1,1,0,2,0,4,1,,6,0,1,3,,5,0,0,0,0,2,0,6,0,0,4,22,9,6,0,0,4,0,1,0,7,5,1,1,2,2,0,9,6
Htra2,1,0,0,0,0,1,1,2,1,3,0,1,1,1,5,5,3,0,7,2,2,0,1,1,4,0,1,2,1,1,2,0,0,1,1,0,3,5,5,1,0,0,2,0,4,3,0,5,1,1,1,1,1,0,2,0,4,2,2,0,3,2,0,0,3,2,1,0,0,1,1,3,3,0,0,3,4,2,0,9,0,1,1,1,3,1,2,3,2,1,1,1,2,0
Htra3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Htra4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Htt,,0,0,3,0,0,0,0,0,0,2,0,0,1,1,0,2,2,,1,0,2,0,0,0,0,,1,,1,0,1,0,,0,1,0,1,1,0,0,0,1,5,0,0,,5,0,1,0,0,0,0,0,0,2,,0,1,2,0,0,0,3,0,,2,1,2,0,0,1,0,0,2,0,0,2,0,1,1,5,1,0,0,0,0,0,0,0,,,0
Hunk,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Hus1,0,1,1,0,0,0,0,1,1,5,1,0,1,1,0,1,0,0,1,,0,0,0,2,0,0,3,2,2,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,1,0,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,,1,,0,0,3,1,0,0,0,0,0,0,1,0,0,0,,1,0,0,0,0,0,1,1,1,0,0,0
Huwe1,11,18,6,11,,12,10,15,15,16,9,9,8,15,9,28,9,14,14,9,12,7,8,5,23,5,11,14,10,11,11,7,7,21,9,5,9,17,14,10,6,5,7,4,15,9,6,19,8,23,31,17,15,31,14,6,10,20,16,9,30,35,5,8,24,20,8,9,8,19,17,10,21,33,5,12,8,30,17,18,10,9,12,8,20,12,20,6,10,29,9,6,31,5
Hvcn1,0,1,0,0,0,1,0,0,,0,1,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,5,1,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,0,0,1,0,1,4,0,0,0,1,0,0
Hyi,0,,0,,0,,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
Hyls1,0,3,0,1,2,1,0,1,0,0,1,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,2,0,,2,0,0,0,0,1,0,0,0,0,1,0,2,,0,1,0,0,0,0,4,1,1,,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Iah1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,2,,,4,0,1,0,1,1,0,0,0,0,1,0,6,0,2,0,0,0,0,5,,0,0,4,1,1,1,0,2,0,1,0,0,0,1,,2,0,4,4,0,3,0,3,,1,1,0,0,1,0,2,1,0,0,2,0,,5,4,2,0,2,,0,0,,,0,0,1,0,1,0,0,0
Iars,0,0,0,6,0,0,4,8,1,0,5,4,4,0,0,5,1,9,4,1,4,0,0,3,2,0,3,4,0,1,0,3,0,1,2,5,5,4,2,3,0,2,2,3,1,6,1,1,5,11,16,4,3,8,0,3,5,6,0,0,2,2,1,3,7,2,1,4,6,8,3,1,4,8,2,2,3,3,2,2,0,2,3,2,0,0,1,2,1,2,1,6,0,1
Iars2,0,1,0,7,7,4,1,6,1,3,1,1,4,4,1,5,0,6,7,0,3,2,3,0,3,0,0,1,0,3,0,1,0,2,4,1,0,2,4,2,4,5,3,2,1,5,2,5,1,5,0,1,7,7,3,4,4,5,0,5,4,1,2,1,5,3,1,1,,1,3,0,0,2,0,0,8,1,5,2,10,0,0,1,1,0,2,0,4,2,0,4,3,1
Ibtk,0,5,0,0,0,4,0,4,6,0,0,6,0,2,0,10,0,4,5,1,5,0,3,1,1,0,1,7,4,0,5,1,4,4,1,3,0,2,0,1,3,3,1,1,6,0,5,5,0,0,,4,0,3,3,1,5,1,1,3,5,3,0,6,7,4,5,3,1,2,2,0,5,3,0,3,4,7,1,0,9,1,2,3,3,4,1,1,7,1,4,2,4,0
Ica1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,3
Ica1l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icam1,1,0,2,4,0,1,3,2,1,4,1,0,2,0,0,0,1,0,0,7,0,3,2,0,0,0,0,,5,0,3,4,1,0,0,5,1,0,4,11,0,0,7,0,,1,9,0,4,1,0,3,0,4,0,0,0,4,,5,3,2,11,0,1,0,0,,1,2,0,4,,0,0,2,2,2,3,2,0,0,0,2,1,0,0,0,3,1,2,4,5,1
Icam2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Icam4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ick,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,,0,0,,0,0,2,2,1,1,0,1,0,0,0,1,2,1,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0
Icmt,0,0,,0,0,0,0,0,0,1,,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,,4,0,0,0,0,1,1,0,4,0,0,1,3,1,1,0,1,0,2,0,0,4,0,,0,0,3,0,0,,0,,0,0,0,0,1,1,,0,0,1,,1,0,3,0,,,3,4,0,0,0,1,3,0,0,0,,0,1,0,0,0,0,0
Icosl,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,3,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
Ict1,4,1,0,1,1,3,2,1,3,4,1,2,0,1,5,1,0,3,5,7,1,4,4,3,10,0,6,4,9,1,2,1,0,2,2,6,1,6,2,6,1,2,1,1,4,3,8,2,1,2,2,1,7,7,1,0,4,0,1,1,1,2,1,0,2,4,2,3,1,1,3,0,12,2,0,5,3,4,8,6,3,6,2,1,0,0,1,1,6,0,3,1,1,0
Id1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,7,0,0,0,,0,2,0,0,0,0,0,,0,0,1,0,1,2,5,2,2,0,5,0,1,0,0,0,0,0,2,0,0,0,5,0,2,2,1,0,0,1,0,2,5,1,0,0,0,0,1,0,0,0,0,0,0,6
Id3,0,0,0,0,0,0,0,0,1,1,0,0,,1,0,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,4,0,0,0,0,0,,0,,0,3,1,6,0,0,0,0,0,6,0,0,0,6,0,1,0,0,0,0,0,4,1,0,1,0,0,1,0,0,,0,0,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,,5,0
Id4,0,0,,,0,1,2,1,0,1,2,1,0,1,0,,0,3,,0,1,1,0,0,,0,,2,0,1,0,0,0,0,0,0,1,2,1,,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,,,,1,0,1,0,0,1,0,0,,,2,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,1,,0,0,0,0,0
Ide,0,7,4,4,0,2,2,5,3,5,0,2,,6,10,4,2,3,11,4,6,2,1,6,1,2,8,8,1,1,2,1,1,7,1,5,2,5,5,9,5,0,0,2,2,1,4,3,4,8,0,3,3,1,0,0,1,4,8,3,3,8,1,3,4,8,0,4,0,3,10,0,13,5,0,6,3,8,0,2,2,3,5,1,8,0,2,6,4,10,1,6,3,0
Idh2,11,4,13,0,1,5,6,6,13,2,2,6,0,15,0,5,11,4,19,7,18,1,0,13,8,,7,7,2,2,18,7,2,10,9,0,14,14,3,6,0,3,0,1,4,5,9,2,14,9,23,1,8,7,7,3,7,5,3,5,15,2,0,8,11,12,7,9,0,16,8,2,7,0,9,1,13,3,10,4,,0,0,7,12,0,9,0,6,8,4,5,3,1
