,k0,k1,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23,mu_24,mu_25,mu_26,mu_27,mu_28,mu_29,mu_30,mu_31,mu_32,mu_33,mu_34,mu_35,mu_36,mu_37,mu_38,mu_39,mu_40,mu_41,mu_42,mu_43,mu_44,mu_45,mu_46,mu_47,mu_48,mu_49,mu_50,mu_51,mu_52,mu_53,mu_54,mu_55,mu_56,mu_57,mu_58,mu_59,mu_60,mu_61,mu_62,mu_63,mu_64,mu_65,mu_66,mu_67,mu_68,mu_69,mu_70,mu_71,mu_72,mu_73,mu_74,mu_75,mu_76,mu_77,mu_78,mu_79,mu_80,mu_81,mu_82,mu_83,mu_84,mu_85,mu_86,mu_87,mu_88,mu_89,mu_90,mu_91,mu_92,mu_93,mu_94,mu_95,mu_96,mu_97,mu_98,mu_99,mu_100,mu_101,mu_102,mu_103,mu_104,mu_105,mu_106,mu_107,mu_108,mu_109,mu_110,mu_111,mu_112,mu_113,mu_114,mu_115,mu_116,mu_117,mu_118,mu_119,mu_120,mu_121,mu_122,mu_123,mu_124,mu_125,mu_126,mu_127,mu_128,mu_129,mu_130,mu_131,mu_132,mu_133,mu_134,mu_135,mu_136,mu_137,mu_138,mu_139,mu_140
508,[1],"[2.0882352990932858, 1.0]","[0.0, 0.3612261806130907]","[0.0, 0.5968141960519874]","[0.0, 0.7356605440805899]","[0.0, 0.9201704561679955]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,[1],"[2.000000004981481, 1.0]","[0.0, 0.5616282088162953]","[0.0, 0.7670454545454545]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,[1],"[2.5121951269036673, 1.0]","[0.0, 0.6003086885752232]","[0.0, 0.6913579337247509]","[0.0, 0.7141111801172476]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,[1],"[1.3353139304509394, 1.0]","[0.760139624061368, 0.9181189568564514]","[0.0, 0.15022507858628095]","[0.0, 0.18172168496342778]","[0.0, 0.2192988638766687]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,[1],"[1.4545454595217608, 1.0]","[0.0, 0.7941084717111643]","[0.0, 0.947363520873575]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,[1],"[1.1424491302648099, 1.0]","[0.0, 0.9412505711867142]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,[1],"[1.0163934475746519, 1.0]","[0.0, 0.8928132352007955]","[0.0, 0.9550817588286904]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.952613693701647]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,[1],"[0.9464285763809708, 1.0]","[0.0, 0.8345651186928147]","[0.0, 0.9335871920883811]","[0.0, 0.9449680847567173]","[0.0, 0.9211340731462013]","[0.0, 1.0]","[0.0, 0.996301338905595]","[0.0, 0.9606981888695372]","[0.0, 0.9311316793163084]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,[1],"[0.22687112298197704, 1.0]","[0.0, 0.8740325698864093]","[0.0, 0.8606336286110231]","[0.0, 0.855116536884602]","[0.0, 0.8581597575091522]","[0.0, 0.8748711133230695]","[0.0, 0.911038371099329]","[0.0, 0.9616313161244416]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.940687000082223]","[0.0, 0.8842026532046072]","[0.0, 0.8342288305441875]","[0.0, 0.7928999321081911]","[0.0, 0.7612951199738046]","[0.0, 0.73811675713581]","[0.0, 0.721502959992679]","[0.0, 0.7101767709290522]","[0.0, 0.7032355831628965]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,[1],"[1.3043478310385155, 1.0]","[0.0, 0.6210205026745299]","[0.0, 0.6879149194471695]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,[1],"[1.6250000049515567, 1.0]","[0.0, 0.8296704478083667]","[0.0, 0.9768839272812356]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,[1],"[1.7500000049778506, 1.0]","[0.0, 0.5739265678537756]","[0.0, 0.748240348278462]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,[1],"[1.0333333382881118, 1.0]","[0.0, 0.8835640429404673]","[0.0, 0.8806527288886354]","[0.0, 0.7408759870603832]","[0.0, 0.7969046033966081]","[0.0, 0.7462339949035731]","[0.0, 0.8204676586262578]","[0.0, 0.8204682811269869]","[0.0, 0.8204675156391239]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,[1],"[1.5083333382847188, 1.0]","[0.0, 0.8205753903644045]","[0.0, 0.948678639107807]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9658229029615251]","[0.0, 0.965822890442599]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,[1],"[2.3743750049526726, 1.0]","[0.0, 0.22116346406949214]","[0.0, 0.8186251481754203]","[0.0, 0.9728290768847578]","[0.0, 0.8915405926960875]","[0.0, 0.7543917155689713]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,[1],"[1.4571428620951705, 1.0]","[0.0, 0.3135524222180488]","[0.0, 0.6363269593726415]","[0.0, 0.776740996427535]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,[1],"[4.750000004953506, 1.0]","[0.0, 0.28687133112512725]","[0.0, 0.33719160259602227]","[0.0, 0.1605138001575833]","[0.0, 0.5750910652187573]","[0.0, 0.6967139237307115]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,[1],"[1.583333338285112, 1.0]","[0.0, 0.7172834467881344]","[0.0, 0.894314947228213]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,[1],"[1.5828125049516857, 1.0]","[0.0, 0.6970904544874729]","[0.0, 0.8810090480656559]","[0.0, 0.9797708577986726]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,[1],"[1.1487008669303553, 1.0]","[0.6526314720877027, 0.8705486606210532]","[0.0, 0.2229690524542527]","[0.0, 0.3177690911612163]","[0.0, 0.251793475255526]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,[1],"[1.0555555605074205, 1.0]","[0.0, 0.5640960436840586]","[0.0, 0.6976108904809191]","[0.0, 0.8175322583612168]","[0.0, 0.8657858728510909]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,[1],"[3.589743594719231, 1.0]","[0.0, 0.8103539675785763]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,[1],"[1.4130434832126197, 1.0]","[0.0, 0.5203989407175651]","[0.0, 0.8346751296468747]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,[1],"[1.6458333382847414, 1.0]","[0.0, 0.6169807301391418]","[0.0, 0.512315723995227]","[0.0, 0.8011087400829218]","[0.0, 0.9999330427079712]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,[1],"[2.8530369595119547, 1.0]","[0.0, 0.5595642478605061]","[0.0, 0.2541327624869989]","[0.0, 0.2781780041055353]","[0.0, 0.31252870204281363]","[0.0, 0.36051831548531293]","[0.0, 0.4556162861225002]","[0.0, 0.685094534188322]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,[1],"[2.7441860514638132, 1.0]","[0.0, 0.7132442682977955]","[0.0, 0.8773736171951273]","[0.0, 0.9355796042422344]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,[1],"[1.5714285763804008, 1.0]","[0.0, 0.585018501528367]","[0.0, 0.7083384412943968]","[0.0, 0.9166288762950554]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,[1],"[0.9344262344602139, 1.0]","[0.0, 0.8407044483736297]","[0.0, 0.9676839436402365]","[0.0, 0.720715919418701]","[0.0, 0.7264061172983829]","[0.0, 0.6199344365429221]","[0.0, 0.5887830112226383]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,[1],"[1.7692307741832956, 1.0]","[0.0, 0.33444816053511695]","[0.0, 0.7171400384925082]","[0.0, 0.9657196036784568]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,[1],"[1.2916666716180323, 1.0]","[0.0, 0.7220268560589671]","[0.0, 0.8931551887112382]","[0.0, 0.8880726233259153]","[0.0, 0.9222186521266771]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.9839989714125057]","[0.0, 0.9569437899757529]","[0.0, 0.9362264870336456]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,[1],"[1.944444449395871, 1.0]","[0.0, 0.7923965816621024]","[0.0, 0.8683014276237477]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,[1],"[0.24173466808829824, 1.0]","[0.0, 0.883016153555977]","[0.0, 0.828535224620815]","[0.0, 0.8178291119667326]","[0.0, 0.8337735020762503]","[0.0, 0.8649725215516252]","[0.0, 0.8940431966840976]","[0.0, 0.9312548142188067]","[0.0, 0.9860125598416902]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,[1],"[1.6190476240160911, 1.0]","[0.0, 0.5303976301400962]","[0.0, 0.7733661298158442]","[0.0, 0.9478342130688948]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,[1],"[1.3943662021372232, 1.0]","[0.0, 0.9119901674663778]","[0.0, 0.9339666365854405]","[0.0, 0.9282150467073432]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,[1],"[2.0416666716183256, 1.0]","[0.0, 0.6972200266602652]","[0.0, 0.7582565812579952]","[0.0, 0.8148145891680485]","[0.0, 1.0]","[0.0, 0.9317141503773363]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,[1],"[1.442767045211147, 1.0]","[0.0, 0.4908091658645974]","[0.0, 0.32263564934943123]","[0.0, 0.3538034395596001]","[0.0, 0.3819879343382565]","[0.0, 0.4088264602403604]","[0.0, 0.43556130779149105]","[0.0, 0.46386685090836743]","[0.0, 0.4954277522445213]","[0.0, 0.5331943489045042]","[0.0, 0.5835494427598984]","[0.0, 0.6415901055841399]","[0.0, 0.7103117435764926]","[0.0, 0.7943444116081915]","[0.0, 0.9016176972324348]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,[1],"[0.22306237524272954, 1.0]","[0.0, 0.9057739322711189]","[0.0, 0.8540660218964635]","[0.0, 0.8229606278321612]","[0.0, 0.8024962045908284]","[0.0, 0.7884977662045641]","[0.0, 0.7788403222616087]","[0.0, 0.7723691309970832]","[0.0, 0.7684416816835499]","[0.0, 0.7667363318587291]","[0.0, 0.7671473531842887]","[0.0, 0.7697095286454348]","[0.0, 0.7745353496917199]","[0.0, 0.7817938848228587]","[0.0, 0.7916306303689571]","[0.0, 0.8042308213559825]","[0.0, 0.8197968553721998]","[0.0, 0.8386220348991323]","[0.0, 0.860874924564858]","[0.0, 0.8866115512933118]","[0.0, 0.9160647147523617]","[0.0, 0.9496421362587719]","[0.0, 0.9879422525975089]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,[1],"[inf, 1.0]","[0.0, -0.0]","[0.0, 0.6030351322286271]","[0.0, 0.996789629448908]","[0.0, 1.0]","[0.0, 0.6117121194930298]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.2149521592232051]","[0.0, 0.6341673547167]","[0.0, 0.6377843479332611]","[0.0, 1.0]","[0.0, 0.6453165730366541]","[0.0, 0.9824582152710221]","[0.0, 0.6534835236893323]","[0.0, 0.6578840653223692]","[0.0, 0.6625626543915177]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.6683739534945223]","[0.0, 0.6852278660924372]","[0.0, 0.6921499278241929]","[0.0, 0.699672553290258]","[0.0, 0.7081142611869434]","[0.0, 0.7175131343658627]","[0.0, 0.7276169579852959]","[0.0, 0.7385821369248892]","[0.0, 0.7504700606194854]","[0.0, 1.0]","[0.0, 0.7772033193862113]","[0.0, 0.7915528597133568]","[0.0, 0.8031042840791272]","[0.0, 0.8050721992635155]","[0.0, 0.8472227048761798]","[0.0, 0.8694878165556243]","[0.0, 0.8939561070896687]","[0.0, -0.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 0.2899166457161855]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,[1],"[1.363636368588271, 1.0]","[0.0, 0.7440203192114079]","[0.0, 0.6462592264804463]","[0.0, 0.4815150520728987]","[0.0, 0.5343666722629813]","[0.0, 0.5730336060023427]","[0.0, 0.6298118119508276]","[0.0, 0.7061876431755905]","[0.0, 0.7847673154883771]","[0.0, 0.8481459991767946]","[0.0, 0.9204997641704578]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,[1],"[0.6622931905308189, 1.0]","[0.39737670262300134, 0.984005219060012]","[0.0, 0.5904389784464836]","[0.0, 0.3523146925730316]","[0.0, 0.35231468423617407]","[0.0, 0.2655323294756665]","[0.0, 0.2655323909529053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,[1],"[4.352941181442241, 1.0]","[0.0, 0.8883808618488553]","[0.0, 1.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,[1],"[None, None]","[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,[1],"[1.065974246598533, 1.0]","[0.8855144667366286, 0.9921632250319161]","[0.0, 0.11448532413718125]","[0.0, 0.11448558697296422]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,[1],"[0.9234402645551937, 1.0]","[0.0, 0.7126410915295395]","[0.0, 0.5714843305056966]","[0.0, 0.7008297750242329]","[0.0, 0.7773559524040754]","[0.0, 0.943958635264166]","[0.0, 1.0]","[0.0, 0.9320945728946565]","[0.0, 0.9320948304478612]","[0.0, 0.932094838924169]","[0.0, 0.9320938714023563]","[0.0, 0.932093863280373]","[0.0, 0.932092660261807]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
