"","MME_MU","MME_SIZE"
"Acta2",2720.80307786451,2.4418361875694
"Actg1",23.6314697948339,0.479814961304497
"Actg2",473.94479149072,0.293904369680069
"Actl6a",21.1999272883316,0.631192342391537
"Actn1",849.370170819611,5.37059772999146
"Actn4",334.591091516954,4.16534379960717
"Actr10",107.970307138414,1.76144768281596
"Actr1a",70.6606839876863,1.17490223955513
"Actr1b",40.3088254270777,1.0726171444515
"Actr2",79.7265398342392,3.34044094452707
"Actr3",125.452389295108,2.47605285104774
"Acyp1",26.2698071380155,0.428492713639935
"Ada",18.1946352411418,0.206218347094333
"Adam10",18.8777001977191,0.417104638152434
"Adam12",34.489457917938,0.61526974393421
"Adam15",39.3276701051716,0.78605457809614
"Adam17",17.9429000826552,0.590383831286199
"Adam19",69.1465429185124,0.929770476091362
"Adam9",108.120825376485,1.56494474830463
"Adamts1",61.3055082815059,0.212298520498953
"Adamts2",28.2221110877923,0.41047104777242
"Adamts5",242.810415379652,0.620220470383607
"Adamtsl3",19.3765002506924,0.499516793495274
"Adamtsl5",15.8368160365162,0.273345001544831
"Adcy6",25.3917803513056,0.428074217232746
"Add1",47.672787774917,0.713533841930194
"Adh5",77.1022637832039,1.19403631805757
"Adipor1",88.220599332434,1.68984338705966
"Adipor2",34.9402199274971,0.520011746817314
"Adk",162.793278129254,1.88233681774291
"Ado",39.3151624910612,0.893243637754048
"Adpgk",28.9437120381276,0.56561248163175
"Adra1d",33.5408013069884,0.601530572846372
"Adrbk1",15.3588661181641,0.296868387146631
"Adsl",21.8569660933108,0.468448683992992
"Adss",40.9135837555695,0.795926495996419
"Aebp1",486.324175458629,3.14247746746786
"Aebp2",49.6833537445431,1.05656217854239
"Aen",63.6660511687256,0.908737575741472
"Aes",83.1036265895986,1.73949558792996
"Afap1",53.8019940691332,1.49102448609084
"Aff1",59.6916603423485,0.774310267108594
"Afg3l2",38.8784780431029,0.932796877066425
"Aga",52.2604294425073,0.800487367730903
"Agfg1",23.1240196048509,0.456689577179114
"Aggf1",21.6608453853598,0.653687635664562
"Agpat1",21.5335417739252,0.452784027266032
"Agpat2",23.5090813744385,0.290379477858099
"Agpat4",17.142113476612,0.375055472173672
"Agpat5",26.204187912237,0.435999648468658
"Agpat6",57.5843994054096,1.15227314911708
"Agps",28.5146591088764,0.525005157081373
"Agtrap",25.3966312053553,0.512388296031467
"Ahctf1",19.1903946941588,0.304485428023444
"Ahnak",380.666449822046,3.44244374546283
"Aifm2",17.6182606208701,0.409750284546003
"Aimp1",38.8587704134512,0.726950315038285
"Aimp2",63.050982805361,0.904185752734729
"Aip",47.1257863354911,0.660927202921128
"Ak2",97.2575679637009,1.69957499162141
"Akap11",18.6819008498519,0.469004977477634
"Akap12",119.351884961471,1.21056418566752
"Akap2",108.510018814905,1.70825724373816
"Akap8",34.572320603157,0.568798632977051
"Akap9",32.6943385826094,0.595343127172436
"Akr1b10",29.7081235605017,0.668722060118779
"Akr1b8",21.6534273049999,0.316977144387595
"Akr1e1",24.2651125818915,0.380462680960896
"Akr7a5",19.4025118172118,0.557123901133773
"Akt1",96.5524428118096,1.30625383664499
"Akt1s1",52.5584058905244,1.28584044716954
"Alas1",99.7953586127567,1.42637723838971
"Aldh18a1",74.6821462908026,0.890166558987999
"Aldh2",43.5793766746021,1.21782639888338
"Aldh3a2",23.3116335681287,0.556279675339372
"Aldh7a1",95.0183698726551,0.924561179051963
"Aldoa",452.346414469631,5.56499686878621
"Alg1",23.4775978548808,0.487676711806883
"Alg11",19.6806399547704,0.890651811056284
"Alg14",29.9795847013827,0.881938993045181
"Alg3",33.5521715282978,0.443689552361064
"Alg5",52.6198191891241,1.27953660366788
"Alg8",20.2522009506509,0.566771217659367
"Alkbh3",20.2873376307491,0.282474186601772
"Alkbh6",30.7271080797794,0.512476276101077
"Amdhd2",56.3456864103439,0.708516987570735
"Amfr",43.6283080234247,0.691779646258203
"Amotl1",51.5679023865456,0.793053616284826
"Ampd2",24.57788108129,0.43972991072639
"Ampd3",31.0082695126783,0.375674032649419
"Amz2",17.1256176130566,0.394477529751211
"Anapc1",29.5236732061834,0.486731166636413
"Anapc16",72.0841457187951,1.59480003082922
"Anapc2",58.2392933496737,0.949557870804471
"Anapc4",29.6831087235742,0.748068222282309
"Anapc5",65.6444697984925,1.08396279049967
"Angptl2",422.552658539526,3.24734078036004
"Angptl7",25.7807816377715,0.00902917676398208
"Ank3",18.786611780288,0.52826276856881
"Ankib1",18.703624214665,0.369744081656832
"Ankrd11",53.5335022287815,0.673050106944451
"Ankrd12",25.6316680875187,0.514404137135874
