"","x"
"519","Faf1"
"520","Faf2"
"521","Fam103a1"
"522","Fam114a1"
"523","Fam114a2"
"524","Fam129b"
"525","Fam149b"
"526","Fam162a"
"527","Fam198b"
"528","Fam3c"
"529","Fam89b"
"530","Fam96b"
"531","Farp1"
"532","Farsa"
"533","Farsb"
"534","Fat1"
"535","Fblim1"
"536","Fbln2"
"537","Fbln5"
"538","Fbn1"
"539","Fcgrt"
"540","Fech"
"541","Fermt2"
"542","Fez2"
"543","Fgf7"
"544","Fgfr1"
"545","Fgfr1op2"
"546","Fh1"
"547","Fhl2"
"548","Fibp"
"549","Fkbp10"
"550","Fkbp11"
"551","Fkbp1a"
"552","Fkbp3"
"553","Fkbp4"
"554","Fkbp7"
"555","Fkbp8"
"556","Fkbp9"
"557","Flii"
"558","Flnb"
"559","Flnc"
"560","Flot2"
"561","Fndc3b"
"562","Fnta"
"563","Fosl2"
"564","Foxp1"
"565","Fscn1"
"566","Fstl1"
"567","Fubp1"
"568","Fuca1"
"569","Fxyd5"
"570","G3bp2"
"571","Gaa"
"572","Gadd45g"
"573","Gadd45gip1"
"574","Galc"
"575","Galk1"
"576","Galnt1"
"577","Galnt2"
"578","Ganab"
"579","Gars"
"580","Gas2l1"
"581","Gas5"
"582","Gas6"
"583","Gatad2a"
"584","Gba"
"585","Gbas"
"586","Gbf1"
"587","Gcsh"
"588","Gemin7"
"589","Get4"
"590","Gfm1"
"591","Gfpt1"
"592","Ggnbp2"
"593","Ghitm"
"594","Gipc1"
"595","Glb1"
"596","Glipr2"
"597","Glrx2"
"598","Glrx3"
"599","Glrx5"
"600","Gls"
"601","Glt25d1"
"602","Gltp"
"603","Glud1"
"604","Gm14005"
"605","Gmfb"
"606","Gmppa"
"607","Gna11"
"608","Gnai2"
"609","Gnai3"
"610","Gnas"
"611","Gnb2"
"612","Gng10"
"613","Gng12"
"614","Gnl1"
"615","Gnl2"
"616","Gnl3"
"617","Gnpnat1"
"618","Gns"
"619","Golim4"
"620","Golm1"
"621","Gorasp2"
"622","Got1"
"623","Got2"
"624","Gpc1"
"625","Gpi1"
"626","Gpr107"
"627","Gpx7"
"628","Gpx8"
"629","Grem2"
"630","Gsn"
"631","Gspt1"
"632","Gsr"
"633","Gstm5"
"634","Gsto1"
"635","Gtf2h1"
"636","Gtf2h3"
"637","Gtf2h5"
"638","Gtf2i"
"639","Gtf3c6"
"640","Gtpbp4"
"641","Guk1"
"642","Gusb"
"643","Gyg"
"644","H13"
"645","H2afv"
"646","H3f3b"
"647","Hadha"
"648","Hars"
"649","Hbegf"
"650","Hbp1"
"651","Hcfc1r1"
"652","Hdac2"
"653","Hdac3"
"654","Hdac7"
"655","Hddc2"
"656","Hdgf"
"657","Hdhd2"
"658","Hdlbp"
"659","Hexa"
"660","Hiat1"
"661","Hibadh"
"662","Higd2a"
"663","Hint1"
"664","Hk1"
"665","Hmga2"
"666","Hmgn1"
"667","Hmgn3"
"668","Hmox1"
"669","Hnrnpa2b1"
"670","Hnrnpab"
"671","Hnrnpl"
"672","Hs2st1"
"673","Hsd17b12"
"674","Hsp90aa1"
"675","Hsp90b1"
"676","Hspa14"
"677","Hspa4"
"678","Hspa5"
"679","Hspa8"
"680","Hspa9"
"681","Hspb6"
"682","Hspb8"
"683","Hspe1"
"684","Hspg2"
"685","Hsph1"
"686","Htra2"
"687","Iars"
"688","Ict1"
"689","Id1"
"690","Id3"
"691","Idh3a"
"692","Idh3b"
"693","Ier2"
"694","Ier3ip1"
"695","Igf1r"
"696","Igfbp4"
"697","Igfbp6"
"698","Igfbp7"
"699","Ik"
"700","Ikbip"
"701","Ikbkb"
"702","Il6st"
"703","Ilf3"
"704","Ilk"
"705","Immp1l"
"706","Immt"
"707","Imp3"
"708","Imp4"
"709","Impad1"
"710","Inf2"
"711","Inhba"
"712","Inpp5a"
"713","Ipo4"
"714","Ipo5"
"715","Iqgap1"
"716","Irf3"
"717","Isca2"
"718","Itfg1"
"719","Itfg3"
"720","Itga5"
"721","Itgb1"
"722","Itgb1bp1"
"723","Itm2b"
"724","Itm2c"
"725","Itpripl2"
"726","Jagn1"
"727","Jak1"
"728","Jkamp"
"729","Jtb"
"730","Kank2"
"731","Kars"
"732","Katna1"
"733","Kctd10"
"734","Kctd5"
"735","Kdelr1"
"736","Kdelr2"
"737","Kdelr3"
"738","Kdm5c"
"739","Kif1b"
"740","Kif1c"
"741","Kif5b"
"742","Klc1"
"743","Klf4"
"744","Klf6"
"745","Klhdc2"
"746","Klhdc3"
"747","Klhl26"
"748","Kpna2"
"749","Kpnb1"
